id,entity_type,district,territory_id,weather_score,pest_score,inventory_score,purchase_history_score,visit_score,competitive_score,current_stage,growth_score,weather_growth_bonus,entity_bonus,raw_priority_score,final_priority_score
RTL_00627,retailer,Bardhaman,TER_0080,70.77196095829635,100.0,81.25,45.0187969924812,64.8,80.0,,0.0,0,12,88.32251226564911,88.75996096590025
RTL_03904,retailer,Nadia,TER_0488,67.31738708744014,96.37938974353087,94.70108695652173,46.33458646616541,42.4,80.0,,0.0,0,12,88.27763276620946,88.70722963966197
RTL_00450,retailer,Nadia,TER_0059,67.31738708744014,96.37938974353087,88.72282608695652,48.402255639097746,50.4,80.0,,0.0,0,12,88.16049379830669,88.56959679596234
RTL_00726,retailer,Nadia,TER_0092,67.31738708744014,96.37938974353087,93.61413043478261,25.0,56.8,80.0,,0.0,0,12,88.04934653750075,88.43900392965978
RTL_03615,retailer,Nadia,TER_0455,67.31738708744014,96.37938974353087,82.74456521739131,64.94360902255639,52.800000000000004,80.0,,0.0,0,12,87.90871399791004,88.27376723100082
GRW_01911,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,87.83036078671654,88.18170584901466
RTL_02555,retailer,Nadia,TER_0323,67.31738708744014,96.37938974353087,95.24456521739131,28.57142857142857,48.0,80.0,,0.0,0,12,87.81284714697173,88.16112813619404
GRW_03513,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,87.79964871351574,88.14562059023002
RTL_00365,retailer,Bardhaman,TER_0047,70.77196095829635,100.0,92.25543478260869,15.413533834586465,55.2,80.0,,0.0,0,12,87.74843569289783,88.0854476709335
RTL_02802,retailer,Nadia,TER_0356,67.31738708744014,96.37938974353087,90.35326086956522,27.349624060150372,95.19999999999999,80.0,,0.0,0,12,87.73721775064078,88.07226711009248
GRW_01155,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,87.69461102769345,88.02220619061409
GRW_00283,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,87.61061351170693,87.92351301279365
GRW_00632,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,87.52591376667982,87.82399474848393
RTL_02198,retailer,Bardhaman,TER_0278,70.77196095829635,100.0,90.625,48.49624060150376,22.400000000000002,30.0,,0.0,0,12,87.47234344123976,87.76105210556811
GRW_04707,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,87.34199040632653,87.60789334720448
RTL_03801,retailer,Bardhaman,TER_0476,70.77196095829635,100.0,96.05978260869566,31.109022556390975,48.0,30.0,,0.0,0,12,87.3393959968391,87.60484503662202
RTL_01785,retailer,Nadia,TER_0224,67.31738708744014,96.37938974353087,83.28804347826086,47.93233082706767,60.0,80.0,,0.0,0,12,87.20572758451719,87.4477908638727
RTL_01681,retailer,Bardhaman,TER_0212,70.77196095829635,100.0,86.1413043478261,62.21804511278195,35.199999999999996,30.0,,0.0,0,12,87.14866507690833,87.38074506919438
GRW_01550,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,87.07198812331536,87.29065321199118
GRW_01332,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,87.05973106503488,87.27625173811158
RTL_01422,retailer,Bardhaman,TER_0179,70.77196095829635,100.0,93.88586956521739,25.18796992481203,49.6,80.0,,0.0,0,12,87.04265085636719,87.25618328666451
RTL_00101,retailer,Bardhaman,TER_0014,70.77196095829635,100.0,80.43478260869566,70.95864661654136,29.599999999999998,80.0,,0.0,0,12,87.00683950938716,87.21410661815854
RTL_01782,retailer,Nadia,TER_0224,67.31738708744014,96.37938974353087,83.83152173913044,36.18421052631579,60.0,80.0,,0.0,0,12,86.83927480460216,87.0172258769658
RTL_01779,retailer,Nadia,TER_0224,67.31738708744014,96.37938974353087,90.48913043478261,35.150375939849624,60.0,80.0,,0.0,0,12,86.81699441892097,86.99104745918622
RTL_00731,retailer,Nadia,TER_0092,67.31738708744014,96.37938974353087,90.08152173913044,18.984962406015036,56.8,80.0,,0.0,0,12,86.8137949349626,86.98728821421894
GRW_03384,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,86.7720676824685,86.93826063165305
GRW_04587,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,86.7638613766617,86.92861860368677
RTL_00988,retailer,Nadia,TER_0125,67.31738708744014,96.37938974353087,97.55434782608695,15.225563909774436,32.800000000000004,80.0,,0.0,0,12,86.70613570958517,86.86079362745174
RTL_03250,retailer,Bardhaman,TER_0410,70.77196095829635,100.0,91.16847826086956,74.24812030075188,30.4,30.0,,0.0,0,12,86.66878304059678,86.81690597721301
RTL_03799,retailer,Bardhaman,TER_0476,70.77196095829635,100.0,92.25543478260869,44.73684210526316,48.0,30.0,,0.0,0,12,86.66876644906664,86.81688648293613
GRW_00389,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,86.65722404476799,86.80332469427435
GRW_00699,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,86.61762881629926,86.75680214086061
GRW_01099,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,86.60607979954263,86.743232582868
GRW_02389,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,86.56688590417609,86.69718157719892
GRW_03543,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,86.550713849195,86.67818016413062
GRW_03764,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,86.46650816100546,86.57924239364564
RTL_00362,retailer,Bardhaman,TER_0047,70.77196095829635,100.0,82.06521739130434,29.69924812030075,55.2,80.0,,0.0,0,12,86.43600970707439,86.54340812757579
GRW_01735,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,86.43150114040198,86.53811077125413
RTL_02298,retailer,Nadia,TER_0290,67.31738708744014,96.37938974353087,87.77173913043478,31.860902255639097,60.0,80.0,,0.0,0,12,86.41590733268384,86.51978877184797
GRW_00724,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,86.34648442852297,86.43822008562324
RTL_03806,retailer,Bardhaman,TER_0476,70.77196095829635,100.0,97.69021739130434,43.42105263157895,48.0,30.0,,0.0,0,12,86.3072993547319,86.39217944489538
GRW_05636,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,86.29213682690508,86.37436417931943
GRW_05773,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,86.2779687429977,86.35771733913585
GRW_02616,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,86.23409902056602,86.3061724539564
GRW_03769,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,86.22864240548857,86.29976118481575
RTL_02805,retailer,Nadia,TER_0356,67.31738708744014,96.37938974353087,72.55434782608697,37.31203007518797,95.19999999999999,80.0,,0.0,0,12,86.22271863309923,86.29280102754296
RTL_03518,retailer,Bardhaman,TER_0443,70.77196095829635,100.0,95.78804347826086,21.898496240601503,22.400000000000002,80.0,,0.0,0,12,86.20137413680426,86.26772223630032
GRW_05923,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,86.19777393926407,86.26349217149603
GRW_00780,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,86.16259643381493,86.22216023733348
RTL_00628,retailer,Bardhaman,TER_0080,70.77196095829635,100.0,78.125,26.033834586466163,64.8,80.0,,0.0,0,12,86.16011910550219,86.21924949169039
RTL_00987,retailer,Nadia,TER_0125,67.31738708744014,96.37938974353087,91.9836956521739,57.330827067669176,32.800000000000004,80.0,,0.0,0,12,86.11053419686101,86.16098952830625
GRW_02160,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,86.0681248785766,86.11116055013314
GRW_03742,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,86.01350814500962,86.04698842629602
GRW_04476,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,86.00268211612607,86.03426834545618
GRW_04523,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.97618846408982,86.00313953550487
GRW_03830,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.95295042661225,85.97583592136777
GRW_03109,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.9074934067827,85.92242603550943
GRW_03921,farmer,Nadia,,67.31738708744014,96.37938974353087,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.8922880214827,85.90456041439413
GRW_03145,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.87998271344014,85.89010224928631
GRW_05375,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.8790357319453,85.88898959003721
RTL_00454,retailer,Nadia,TER_0059,67.31738708744014,96.37938974353087,82.06521739130434,56.015037593984964,50.4,80.0,,0.0,0,12,85.87249180030835,85.88130077446803
GRW_02262,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.83803041993146,85.8408102539862
RTL_03798,retailer,Bardhaman,TER_0476,70.77196095829635,100.0,92.25543478260869,34.02255639097744,48.0,30.0,,0.0,0,12,85.7974456293052,85.79312501102349
GRW_00901,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.78459825079825,85.77802993831067
GRW_03656,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.7777987315709,85.7700408192002
RTL_01511,retailer,Nadia,TER_0191,67.31738708744014,96.37938974353087,70.38043478260869,45.86466165413533,64.0,80.0,,0.0,0,12,85.75047715903236,85.73793924113315
GRW_03670,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.73961926437144,85.72518171948576
GRW_05741,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.73912445039285,85.7246003360555
GRW_02291,farmer,Nadia,,67.31738708744014,96.37938974353087,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.71738254498767,85.69905460757643
GRW_03787,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.70612576979312,85.68582841983846
RTL_00099,retailer,Bardhaman,TER_0014,70.77196095829635,100.0,90.76086956521739,33.27067669172932,29.599999999999998,80.0,,0.0,0,12,85.6828189922781,85.65844403935178
GRW_04756,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.67404547105214,85.64813555962716
RTL_02975,retailer,Bardhaman,TER_0377,70.77196095829635,100.0,85.05434782608697,57.42481203007519,26.400000000000002,30.0,,0.0,0,12,85.6506190340442,85.620610584797
GRW_04062,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.6504900448137,85.62045902844545
GRW_00916,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.65012057614442,85.6200249199287
GRW_02970,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.63667432507604,85.60422619978652
GRW_00529,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.62117204007113,85.58601173531522
RTL_01940,retailer,Bardhaman,TER_0245,70.77196095829635,100.0,98.6413043478261,41.07142857142857,26.400000000000002,30.0,,0.0,0,12,85.62055952534087,85.58529205897145
RTL_00992,retailer,Nadia,TER_0125,67.31738708744014,96.37938974353087,81.25,51.8796992481203,32.800000000000004,80.0,,0.0,0,12,85.61982800731211,85.58443255928216
GRW_00737,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.61563288895972,85.57950349017021
GRW_00950,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.59659746147294,85.55713774747203
RTL_03074,retailer,Nadia,TER_0389,67.31738708744014,96.37938974353087,84.23913043478261,26.033834586466163,54.400000000000006,80.0,,0.0,0,12,85.59137596774868,85.551002734995
RTL_00898,retailer,Bardhaman,TER_0113,70.77196095829635,100.0,87.90760869565217,54.13533834586466,51.2,30.0,,0.0,0,12,85.57849310053375,85.53586596469951
GRW_02006,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.55152884854832,85.50418422167725
GRW_05075,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.53285592716247,85.48224440680158
GRW_02980,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.53130393806697,85.48042089173713
GRW_01438,farmer,Nadia,,67.31738708744014,96.37938974353087,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.52005141332128,85.46719969807906
GRW_01749,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.51596071238701,85.46239331458099
GRW_05291,farmer,Nadia,,67.31738708744014,96.37938974353087,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.46963437412396,85.40796201996152
GRW_05129,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.45598522376709,85.39192490258434
GRW_02710,farmer,Nadia,,67.31738708744014,96.37938974353087,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.45415308753947,85.38977222765841
RTL_00990,retailer,Nadia,TER_0125,67.31738708744014,96.37938974353087,85.86956521739131,51.597744360902254,32.800000000000004,80.0,,0.0,0,12,85.43296077290285,85.36487224279226
RTL_02806,retailer,Nadia,TER_0356,67.31738708744014,96.37938974353087,81.79347826086956,37.68796992481203,95.19999999999999,80.0,,0.0,0,12,85.42949942182024,85.36080531612326
GRW_03408,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.42085514298185,85.350648690198
GRW_01607,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.41559376148109,85.34446681143721
GRW_04720,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.39928702479399,85.32530715362319
GRW_02954,farmer,Nadia,,67.31738708744014,96.37938974353087,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.39054239003036,85.31503261414942
GRW_02991,farmer,Nadia,,67.31738708744014,96.37938974353087,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.38362413217166,85.30690398266505
GRW_01590,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.36080411205846,85.2800915195053
GRW_03676,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.34089943451218,85.2567044483823
GRW_01567,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.33207436332621,85.24633539985027
RTL_02204,retailer,Bardhaman,TER_0278,70.77196095829635,100.0,96.875,50.37593984962406,22.400000000000002,30.0,,0.0,0,12,85.31105728635637,85.22164131109908
RTL_01780,retailer,Nadia,TER_0224,67.31738708744014,96.37938974353087,90.89673913043478,31.203007518796994,60.0,80.0,,0.0,0,12,85.27880433495856,85.18374559203937
GRW_00954,farmer,Nadia,,67.31738708744014,96.37938974353087,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.27467995540118,85.17889963772424
GRW_05663,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.24263230962426,85.14124514322828
RTL_01688,retailer,Bardhaman,TER_0212,70.77196095829635,100.0,85.46195652173914,50.75187969924813,35.199999999999996,30.0,,0.0,0,12,85.2403095220027,85.13851597571563
GRW_03604,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.23261251592513,85.12947235126344
GRW_00123,farmer,Nadia,,67.31738708744014,96.37938974353087,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.21322451569544,85.10669235197682
RTL_01516,retailer,Nadia,TER_0191,67.31738708744014,96.37938974353087,68.61413043478262,58.45864661654135,64.0,80.0,,0.0,0,12,85.1952017314293,85.08551641800416
GRW_03480,farmer,Nadia,,67.31738708744014,96.37938974353087,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.18855714518557,85.07770933794954
GRW_00512,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.1562311233152,85.03972776448025
GRW_05661,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.14942074698067,85.03172588877341
GRW_04872,farmer,Nadia,,67.31738708744014,96.37938974353087,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.14920689956176,85.03147462799394
GRW_02428,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.13830176198994,85.01866159812165
GRW_02972,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.1286372183607,85.00730620848005
GRW_03159,farmer,Nadia,,67.31738708744014,96.37938974353087,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.10199429166364,84.97600200773927
RTL_00903,retailer,Bardhaman,TER_0113,70.77196095829635,100.0,80.43478260869566,50.18796992481202,51.2,30.0,,0.0,0,12,85.06667492234193,84.93450339011905
RTL_03351,retailer,Nadia,TER_0422,67.31738708744014,96.37938974353087,97.28260869565217,39.661654135338345,32.0,30.0,,0.0,0,12,85.06055848635577,84.92731686207331
GRW_04706,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,85.03859911796081,84.90151562468701
RTL_03248,retailer,Bardhaman,TER_0410,70.77196095829635,100.0,85.19021739130434,68.42105263157895,30.4,30.0,,0.0,0,12,85.02797860079,84.88903701055926
RTL_01255,retailer,Nadia,TER_0158,67.31738708744014,96.37938974353087,91.84782608695652,26.785714285714285,36.0,80.0,,0.0,0,12,84.99031333467144,84.84478207321933
GRW_03693,farmer,Nadia,,67.31738708744014,96.37938974353087,0.0,0.0,0.0,0.0,flowering,95.0,15,0,84.93632511692269,84.78134842626076
GRW_04309,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,84.93620557549357,84.78120797063679
GRW_03527,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,84.93468169401189,84.77941748071237
RTL_00632,retailer,Bardhaman,TER_0080,70.77196095829635,100.0,83.55978260869566,16.917293233082706,64.8,80.0,,0.0,0,12,84.92574055476915,84.76891205760745
RTL_03253,retailer,Bardhaman,TER_0410,70.77196095829635,100.0,97.96195652173914,36.46616541353384,30.4,30.0,,0.0,0,12,84.90019583826805,84.7388982028118
RTL_03247,retailer,Bardhaman,TER_0410,70.77196095829635,100.0,91.9836956521739,40.225563909774436,30.4,30.0,,0.0,0,12,84.89851799605894,84.7369268161874
GRW_01344,farmer,Nadia,,67.31738708744014,96.37938974353087,0.0,0.0,0.0,0.0,flowering,95.0,15,0,84.89500246147081,84.73279622641739
GRW_04966,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,84.87802142020391,84.71284429205781
GRW_00667,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,84.84912246135762,84.67888935838215
GRW_05123,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,84.84515755922241,84.67423078262696
RTL_03614,retailer,Nadia,TER_0455,67.31738708744014,96.37938974353087,91.03260869565217,41.35338345864661,52.800000000000004,80.0,,0.0,0,12,84.72228532595813,84.52986161855915
GRW_03923,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,84.71194852847856,84.51771636188384
GRW_00754,farmer,Nadia,,67.31738708744014,96.37938974353087,0.0,0.0,0.0,0.0,flowering,95.0,15,0,84.68949574420306,84.49133538376752
GRW_05007,farmer,Nadia,,67.31738708744014,96.37938974353087,0.0,0.0,0.0,0.0,flowering,95.0,15,0,84.68175702586719,84.48224274935025
RTL_02301,retailer,Nadia,TER_0290,67.31738708744014,96.37938974353087,68.4782608695652,47.93233082706767,60.0,80.0,,0.0,0,12,84.65344360680675,84.44897579771224
GRW_02258,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,84.60044559696732,84.38670559903099
GRW_02189,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,84.58772165704092,84.37175556091398
RTL_00102,retailer,Bardhaman,TER_0014,70.77196095829635,100.0,74.59239130434783,57.98872180451128,29.599999999999998,80.0,,0.0,0,12,84.53633412678963,84.3113776009079
GRW_01018,farmer,Bardhaman,,70.77196095829635,100.0,0.0,0.0,0.0,0.0,flowering,95.0,15,0,84.50575953640742,84.27545387804612
